,Name of book,Year of relase,Price,Category,Rating
25,Подробное руководство по DAX,2021,14 728,ДМК Пресс,3.4
26,C++ для IT-профессий. Учебник,2020,6 706,Фолиант,5.0
27,JavaScript для глубокого обучения,2021,19 279,"Прогресс книга, Питер, Библиотека программиста",3.7
28,Основы искусственного интеллекта в примерах на Python,2021,8 184,"BHV, Самоучитель",4.4
29,Основы Microsoft Azure. Подготовка к экзамену AZ-900,2021,12 312,ДМК Пресс,3.6
30,Глубокое обучение с подкреплением,2022,13 810,"Прогресс книга, Библиотека программиста",3.7
31,{Вы пока еще не знаете JS}. Область видимости и замыкания,2022,7 598,"Питер, Библиотека программиста",4.7
32,Цифровой свет и рендеринг,2022,23 222,ДМК Пресс,4.6
33,Программирование на языке Lua,2014,6 974,ДМК Пресс,3.9
34,Практическая статистика для специалистов Data Science,2022,7 148,BHV,4.3
35,Android глазами хакера,2022,4 484,"BHV, Глазами хакера",3.1
36,Пять строк кода. Роберт Мартин рекомендует,2022,9 216,"Питер, Прогресс книга, Библиотека программиста",4.7
37,Kubernetes на практике,2022,12 232,BHV,3.1
38,Тестирование JavaScript,2023,13 849,"Питер, Прогресс книга, Библиотека программиста",4.8
39,Чистая архитектура,2022,7 114,"Питер, Библиотека программиста",3.3
40,Старший брат следит за тобой,2022,6 434,Альпина Паблишер,3.9
41,Сверхдержавы искусственного интеллекта,2019,32 408,"Манн, Иванов и Фербер, Искусственный интеллект (Библиотека Сбера)",4.7
42,Swift для детей. Самоучитель по созданию приложений для iOS,2018,9 387,"Манн, Иванов и Фербер, Детство",3.4
43,Форма жизни №4,2022,4 972,Альпина Паблишер,3.5
44,Программирование на C++ в примерах и задачах,2016,5 049,"Эксмо, Российский компьютерный бестселлер",4.8
45,Программирование на C# для начинающих,2018,6 771,"Бомбора, Российский компьютерный бестселлер",4.9
46,Сам себе программист,2018,4 772,"Бомбора, Мировой компьютерный бестселлер",3.6
47,JavaScript для начинающих,2022,5 786,"Бомбора, Мировой компьютерный бестселлер (обложка)",4.6
48,Гид Java-разработчика,2021,4 968,"Эксмо, Бомбора, Мировой компьютерный бестселлер",4.3
49,Анатомия для 3D-художников,2022,11 515,"Бомбора, Учимся рисовать на компьютере и планшете",3.8
50,Unreal Engine 4 для дизайна и визуализации,2021,11 115,"Бомбора, Эксмо, Мировой компьютерный бестселлер. Геймдизайн",4.9
51,Элементы гейм-дизайна,2022,7 308,"Эксмо, Мировой компьютерный бестселлер. Гейм-дизайн",4.1
52,Интернет изнутри. Экосистема глобальной Сети,2017,5 119,Альпина Паблишер,4.3
53,1С. Предприятие 8.3,2022,5 400,LEM (Лем),3.3
54,1С:Предприятие 8.3. Бухгалтерия для Казахстана,2019,4 200,LEM (Лем),3.7
55,Создание персонажей в Procreate,2022,10 193,"Эксмо, Бомбора, Учимся рисовать на компьютере и планшете",4.4
56,Soft skills для IT-специалистов,2022,7 986,"Эксмо, Бомбора, Мировой компьютерный бестселлер",4.0
57,#instaстиль. Как собирать миллионы лайков в Instagram,2019,1 943,"ОДРИ, Krasota. Безупречный стиль",4.4
58,JavaScript в примерах и задачах,2017,6 440,"Эврика, Российский компьютерный бестселлер",4.4
59,Код креативности,2020,4 819,"Иностранка / КоЛибри, Человек Мыслящий. Идеи, способные изменить мир",3.2
60,Программирование на Python с нуля,2022,5 593,"Эксмо, Бомбора, Программирование для детей",4.8
61,Программирование на Java для начинающих,2017,6 440,"Эксмо, Российский компьютерный бестселлер",3.8
62,Не заставляйте меня думать,2017,5 116,"Эксмо, Мировой компьютерный бестселлер",4.7
63,"Учим Python, делая крутые игры",2018,5 851,"Бомбора, Мировой компьютерный бестселлер",3.8
64,Изучаем Java,2012,9 642,"Эксмо, Мировой компьютерный бестселлер",3.2
65,"Кровь, пот и пиксели",2018,4 453,"Бомбора, Легендарные компьютерные игры",4.6
66,Роботы. Иллюстрированный путеводитель,2019,4 197,"Эксмо, Новая занимательная энциклопедия",4.5
67,Программируем с детьми. Создайте 50 крутых игр на Python,2021,7 065,"Бомбора, Программирование для детей",4.2
68,Роботоделы. Короткое замыкание в школе,2019,1 178,"Эксмо, Программирование для детей",4.7
69,Javascript и jQuery. Интерактивная веб-разработка,2017,12 952,"Эксмо, Мировой компьютерный бестселлер",4.8
70,Программирование на PHP в примерах и задачах,2021,5 851,"Эксмо, Российский компьютерный бестселлер",3.0
71,Высокопроизводительные Python-приложения,2022,9 089,"Бомбора, Мировой компьютерный бестселлер (обложка)",3.1
72,Миссия: Python. Создаем игры вместе с детьми,2022,7 986,"Эксмо, Бомбора, Программирование для детей",3.9
73,Программирование на Python,2015,4 049,"Эксмо, Программирование для начинающих",4.3
74,Дополненная реальность,2019,3 681,"Бомбора, Мир технологий",3.9
75,"Что делать, когда машины начнут делать все",2019,5 593,"Бомбора, Top Business Awards",3.6
76,Планшет. Самоучитель,2021,2 231,"АСТ , Самый полезный самоучитель",4.5
77,Яндекс.Дзен. Как создать свой блог,2021,6 146,"Эксмо, Взгляд эксперта. Книги от лучших профессионалов своего дела",4.6
78,Программируй в Minecraft,2021,7 691,"Бомбора, Эксмо, Программирование для детей",3.4
79,Ноутбук для любимых чайников,2022,2 503,"АСТ , Всё для любимых чайников",3.5
80,Моя книга о LEGO EV3,2017,4 884,Фолиант,4.9
81,Идеальный программист,2022,4 459,"Питер, Прогресс книга, Библиотека программиста",3.4
82,Программируем на Python,2021,7 461,"Питер, Библиотека программиста",3.3
83,Высоконагруженные приложения,2020,16 109,"Питер, Бестселлеры O'Reilly",3.3
84,Основы Python. Научитесь мыслить как программист,2021,9 251,"Манн, Иванов и Фербер",3.3
85,Код. Тайный язык информатики,2021,13 162,"Манн, Иванов и Фербер",4.9
86,Computer Science для программиста-самоучки,2023,7 678,"Питер, Прогресс книга, Библиотека программиста",3.4
87,C# 10 и .NET 6,2023,26 153,"Питер, Прогресс книга, Для профессионалов",4.6
88,Python для детей. Самоучитель по программированию,2017,9 796,"Манн, Иванов и Фербер, МИФ. Детство",3.2
89,Head First. Изучаем Swift,2023,15 268,"Питер, Прогресс книга, Head First O'Reilly",4.9
90,Непрерывное развитие API,2022,20 637,"Питер, Прогресс книга, Бестселлеры O`Reilly",4.9
